Gene_name	Intron_coord	Exons_before	Exons_after
ZMYND11	chr10:237677-240055	4.0	6.0
ZMYND11	chr10:211750-221194	1.0	12.0
PFKP	chr10:3105301-3105392	4.0	16.0
AKR1E2	chr10:4833476-4835674	3.0	4.0
AKR1E2	chr10:4842504-4845777	6.0	1.0
NET1	chr10:5452525-5452824	4.0	6.0
TASOR2	chr10:5753432-5754460	0.0	3.0
TASOR2	chr10:5750027-5753407	0.0	3.0
TASOR2	chr10:5754532-5756612	0.0	3.0
PFKFB3	chr10:6224213-6224505	13.0	1.5
ATP5F1C	chr10:7800091-7801512	6.0	2.0
ATP5F1C	chr10:7801569-7802269	5.0	3.0
ECHDC3	chr10:11749592-11755344	2.5	1.0
SEC61A2	chr10:12149961-12156906	2.0	2.5
SEC61A2	chr10:12136170-12142432	3.0	3.0
CDC123	chr10:12237266-12237461	4.5	4.0
CDC123	chr10:12237534-12238456	4.0	4.5
OPTN	chr10:13109288-13110179	1.0	11.0
HSPA14	chr10:14840157-14843370	2.0	3.0
HSPA14	chr10:14840157-14842133	2.0	3.0
HSPA14	chr10:14840157-14841165	2.0	3.0
MLLT10	chr10:21651768-21663749	0.0	15.0
MLLT10	chr10:21682257-21712229	12.0	9.0
MLLT10	chr10:21651768-21668916	8.0	13.0
COMMD3	chr10:22318168-22318652	1.0	4.0
COMMD3	chr10:22316556-22317856	1.0	4.5
COMMD3	chr10:22316967-22317883	0.0	5.0
COMMD3-BMI1	chr10:22318306-22318652	4.0	9.0
COMMD3-BMI1	chr10:22316556-22317856	1.0	3.0
COMMD3-BMI1	chr10:22318862-22318958	3.0	10.0
MSRB2	chr10:23119134-23119303	0.0	3.0
MSRB2	chr10:23110318-23119045	1.5	2.0
PDSS1	chr10:26735579-26740644	5.5	2.5
PDSS1	chr10:26709768-26720134	5.0	6.0
WAC	chr10:28610821-28611254	7.0	4.0
WAC	chr10:28536059-28583398	0.0	10.0
WAC	chr10:28610821-28611009	7.0	4.0
WAC	chr10:28614685-28615327	9.0	2.0
CCDC7	chr10:32567891-32583033	0.0	1.0
RASSF4	chr10:44982663-44983869	3.0	6.0
RASSF4	chr10:44971848-44980891	2.0	1.0
RASSF4	chr10:44971848-44982524	2.0	1.0
RASSF4	chr10:44989375-44989616	3.5	2.0
ALOX5	chr10:45425132-45428360	6.0	6.5
PTPN20	chr10:46947955-46964985	0.0	4.0
MAPK8	chr10:48420320-48425178	5.0	4.0
TIMM23B	chr10:49942300-49943234	1.0	4.0
TIMM23B	chr10:49943358-49945031	0.0	5.0
CISD1	chr10:58269304-58276117	1.0	1.0
TFAM	chr10:58386716-58388189	1.0	4.0
TFAM	chr10:58386338-58386649	2.0	4.0
CDK1	chr10:60792053-60792122	4.5	1.0
REEP3	chr10:63599712-63610186	4.0	3.0
CCAR1	chr10:68756632-68757293	11.0	4.0
DDX50	chr10:68913279-68913349	5.0	9.0
DDX50	chr10:68901471-68906283	1.0	13.0
DDX50	chr10:68901471-68906225	1.0	13.0
KIFBP	chr10:69005915-69007626	4.0	2.0
KIFBP	chr10:69006929-69008840	3.0	3.0
HK1	chr10:69369336-69369418	6.0	10.0
SGPL1	chr10:70868433-70869326	6.0	6.0
FAM149B1	chr10:73233197-73234816	4.0	4.0
SEC24C	chr10:73767931-73768809	14.0	7.0
ZSWIM8	chr10:73795663-73796320	15.0	10.0
ZSWIM8	chr10:73796403-73796773	14.0	11.0
ZSWIM8	chr10:73797605-73797935	19.0	6.0
ZSWIM8	chr10:73797609-73797780	19.0	6.0
ADK	chr10:74528093-74589281	0.0	5.0
ADK	chr10:74525426-74527759	0.0	5.0
VDAC2	chr10:75214070-75217932	3.0	5.0
VDAC2	chr10:75214070-75217887	3.0	5.0
RPS24	chr10:78034316-78035351	0.0	4.0
RPS24	chr10:78033986-78035351	0.0	4.0
RPS24	chr10:78037304-78037329	2.0	1.5
PPIF	chr10:79351714-79352316	2.0	3.0
CDHR1	chr10:84212292-84213090	8.0	2.5
CDHR1	chr10:84204605-84205731	9.0	7.0
LDB3	chr10:86681803-86685677	2.0	5.0
LDB3	chr10:86680157-86685593	3.0	4.0
PAPSS2	chr10:87660405-87709195	0.0	11.5
PTEN	chr10:87933251-87942610	2.0	4.0
BTAF1	chr10:91959282-91959784	8.0	29.0
PLCE1	chr10:94282940-94283789	16.0	10.0
PLCE1	chr10:94254096-94254189	7.0	22.0
PLCE1	chr10:94254307-94254935	9.0	20.5
PLCE1	chr10:94252498-94253940	8.0	21.0
HELLS	chr10:94546560-94554125	1.0	18.0
HELLS	chr10:94577096-94581325	9.0	12.0
HELLS	chr10:94562876-94570786	6.0	14.0
HELLS	chr10:94554248-94557178	3.0	16.0
ENTPD1	chr10:95843301-95844475	3.0	6.0
ENTPD1	chr10:95842494-95843198	4.0	5.0
ENTPD1	chr10:95842494-95844554	5.0	4.0
ENTPD1	chr10:95845596-95846082	6.0	3.0
ZDHHC16	chr10:97452503-97452806	3.0	5.0
SEMA4G	chr10:100978671-100978848	5.0	8.0
TWNK	chr10:100990663-100990868	1.5	1.5
SFXN3	chr10:101037431-101037507	7.0	2.0
SFXN3	chr10:101036561-101036666	4.0	5.0
BTRC	chr10:101430452-101461963	1.5	7.0
DPCD	chr10:101601336-101608866	4.0	1.0
GBF1	chr10:102379429-102379520	33.0	5.0
GBF1	chr10:102363798-102364894	16.0	22.0
GBF1	chr10:102362664-102363226	14.0	24.0
GBF1	chr10:102381039-102381126	36.0	2.0
GBF1	chr10:102363798-102365382	16.0	22.0
GBF1	chr10:102364972-102365396	15.0	23.0
GBF1	chr10:102376421-102376559	30.0	8.0
GBF1	chr10:102363585-102363709	14.0	24.0
GBF1	chr10:102367210-102367425	19.0	19.0
GBF1	chr10:102363798-102365415	16.0	22.0
GBF1	chr10:102344182-102346367	0.0	2.0
GBF1	chr10:102376425-102376559	30.0	8.0
GBF1	chr10:102376804-102376934	31.0	7.0
GBF1	chr10:102361912-102362541	13.0	25.0
GBF1	chr10:102358729-102360183	0.0	1.0
GBF1	chr10:102376784-102376934	32.0	6.0
GBF1	chr10:102370860-102376271	1.0	1.0
GBF1	chr10:102368454-102368818	21.0	17.0
GBF1	chr10:102380362-102380578	37.0	1.0
GBF1	chr10:102367560-102368297	20.0	18.0
GBF1	chr10:102375584-102376309	29.0	9.0
GBF1	chr10:102367560-102367842	20.0	18.0
GBF1	chr10:102346492-102351255	0.0	2.0
GBF1	chr10:102358694-102359269	9.0	27.0
