chr	start	end	strand	gene_name
chr10	16502	16549	-	ENSG00000260370.2
chr10	14497	14659	-	ENSG00000260370.2
chr10	14061	14299	-	ENSG00000260370.2
chr10	20786	20930	-	ENSG00000260370.2
chr10	16502	16544	-	ENSG00000260370.2
chr10	14497	14588	-	ENSG00000260370.2
chr10	20786	20897	-	ENSG00000260370.2
chr10	14138	14299	-	ENSG00000260370.2
chr10	20690	20897	-	ENSG00000260370.2
chr10	44712	44901	+	ENSG00000237297.1
chr10	44952	45204	+	ENSG00000237297.1
chr10	45309	45405	+	ENSG00000237297.1
chr10	45834	45882	+	ENSG00000237297.1
chr10	46245	46359	+	ENSG00000237297.1
chr10	46842	46884	+	ENSG00000237297.1
chr10	49182	49296	-	ENSG00000261456.6
chr10	48804	48912	-	ENSG00000261456.6
chr10	48615	48725	-	ENSG00000261456.6
chr10	46888	48114	-	ENSG00000261456.6
chr10	73969	74163	-	ENSG00000261456.6
chr10	49408	50233	-	ENSG00000261456.6
chr10	48719	48912	-	ENSG00000261456.6
chr10	46892	48114	-	ENSG00000261456.6
chr10	49182	49277	-	ENSG00000261456.6
chr10	46953	48114	-	ENSG00000261456.6
chr10	49182	49293	-	ENSG00000261456.6
chr10	47057	48137	-	ENSG00000261456.6
chr10	49182	49269	-	ENSG00000261456.6
chr10	47494	48114	-	ENSG00000261456.6
chr10	49408	49521	-	ENSG00000261456.6
chr10	48425	48725	-	ENSG00000261456.6
chr10	47578	48114	-	ENSG00000261456.6
chr10	48615	48912	-	ENSG00000261456.6
chr10	47705	48114	-	ENSG00000261456.6
chr10	86128	86265	-	ENSG00000232420.2
chr10	85596	85697	-	ENSG00000232420.2
chr10	85293	85485	-	ENSG00000232420.2
chr10	84632	84746	-	ENSG00000232420.2
chr10	84225	84333	-	ENSG00000232420.2
chr10	82777	82860	-	ENSG00000232420.2
chr10	80394	80964	-	ENSG00000232420.2
chr10	130088	130335	+	ENSG00000015171.21
chr10	179994	180128	+	ENSG00000015171.21
chr10	209889	210048	+	ENSG00000015171.21
chr10	236838	236915	+	ENSG00000015171.21
chr10	237585	237677	+	ENSG00000015171.21
chr10	239438	239525	+	ENSG00000015171.21
chr10	240056	240111	+	ENSG00000015171.21
chr10	240893	240970	+	ENSG00000015171.21
chr10	242021	242139	+	ENSG00000015171.21
chr10	246766	246973	+	ENSG00000015171.21
chr10	247398	247466	+	ENSG00000015171.21
chr10	248336	248608	+	ENSG00000015171.21
chr10	248903	249088	+	ENSG00000015171.21
chr10	252348	254602	+	ENSG00000015171.21
chr10	134465	134786	+	ENSG00000015171.21
chr10	237585	237651	+	ENSG00000015171.21
chr10	221195	221356	+	ENSG00000015171.21
chr10	252348	252470	+	ENSG00000015171.21
chr10	134703	134892	+	ENSG00000015171.21
chr10	240059	240111	+	ENSG00000015171.21
chr10	248903	249261	+	ENSG00000015171.21
chr10	135069	135302	+	ENSG00000015171.21
chr10	252348	254637	+	ENSG00000015171.21
chr10	135436	135559	+	ENSG00000015171.21
chr10	150097	150258	+	ENSG00000015171.21
chr10	150518	153278	+	ENSG00000015171.21
chr10	135438	135559	+	ENSG00000015171.21
chr10	240893	241583	+	ENSG00000015171.21
chr10	135451	135559	+	ENSG00000015171.21
chr10	252348	254608	+	ENSG00000015171.21
chr10	135455	135559	+	ENSG00000015171.21
chr10	135464	135559	+	ENSG00000015171.21
chr10	197911	198005	+	ENSG00000015171.21
chr10	135472	135559	+	ENSG00000015171.21
chr10	252348	254431	+	ENSG00000015171.21
chr10	135484	135559	+	ENSG00000015171.21
chr10	135489	135559	+	ENSG00000015171.21
chr10	248903	254624	+	ENSG00000015171.21
chr10	135506	135559	+	ENSG00000015171.21
chr10	211645	211750	+	ENSG00000015171.21
chr10	252348	254437	+	ENSG00000015171.21
chr10	135508	135559	+	ENSG00000015171.21
chr10	252348	254613	+	ENSG00000015171.21
chr10	135509	135559	+	ENSG00000015171.21
chr10	252348	254609	+	ENSG00000015171.21
chr10	252348	254634	+	ENSG00000015171.21
chr10	135519	135559	+	ENSG00000015171.21
chr10	252348	254339	+	ENSG00000015171.21
chr10	218455	218499	+	ENSG00000015171.21
chr10	252348	254517	+	ENSG00000015171.21
chr10	135813	136417	+	ENSG00000015171.21
chr10	252348	254598	+	ENSG00000015171.21
chr10	136199	136417	+	ENSG00000015171.21
chr10	252348	254619	+	ENSG00000015171.21
chr10	180013	180128	+	ENSG00000015171.21
chr10	180019	180128	+	ENSG00000015171.21
chr10	239962	240111	+	ENSG00000015171.21
