Gene_name	Intron_coord	Strand	Annot	Coding	UTR	GencodePC
ZMYND11	chr10:130335-179993	+	True	False	True	True
ZMYND11	chr10:134786-179993	+	True	False	True	True
ZMYND11	chr10:134892-179993	+	True	False	True	True
ZMYND11	chr10:135302-179993	+	True	False	True	True
ZMYND11	chr10:135559-150096	+	True	False	True	False
ZMYND11	chr10:135559-179993	+	True	False	True	True
ZMYND11	chr10:135559-209888	+	True	False	True	True
ZMYND11	chr10:136417-179993	+	True	False	True	True
ZMYND11	chr10:150258-150517	+	True	False	True	False
ZMYND11	chr10:180128-197910	+	True	False	True	False
ZMYND11	chr10:180128-209888	+	True	True	True	True
ZMYND11	chr10:198005-209888	+	True	False	True	False
ZMYND11	chr10:210048-211644	+	True	False	False	False
ZMYND11	chr10:210048-218454	+	True	True	False	True
ZMYND11	chr10:210048-221194	+	True	True	False	True
ZMYND11	chr10:210048-236837	+	True	True	False	True
ZMYND11	chr10:211750-221194	+	True	False	False	False
ZMYND11	chr10:218499-221194	+	True	True	False	True
ZMYND11	chr10:221356-236837	+	True	True	False	True
ZMYND11	chr10:236915-237584	+	True	True	False	True
ZMYND11	chr10:236915-239437	+	True	True	False	True
ZMYND11	chr10:236915-242020	+	True	True	False	True
ZMYND11	chr10:237677-239437	+	True	True	False	True
ZMYND11	chr10:237677-240055	+	True	False	False	False
ZMYND11	chr10:237677-240892	+	True	True	False	True
ZMYND11	chr10:239525-240055	+	True	True	False	True
ZMYND11	chr10:239525-240058	+	True	True	False	True
ZMYND11	chr10:240111-240892	+	True	True	False	True
ZMYND11	chr10:240111-242020	+	True	True	False	True
ZMYND11	chr10:240970-242020	+	True	True	False	True
ZMYND11	chr10:242139-246765	+	True	True	False	True
ZMYND11	chr10:244600-246765	+	True	False	False	False
ZMYND11	chr10:246973-247397	+	True	True	False	True
ZMYND11	chr10:246973-248335	+	True	True	False	True
ZMYND11	chr10:247466-248335	+	True	True	False	True
ZMYND11	chr10:248608-248902	+	True	True	False	True
ZMYND11	chr10:249088-252347	+	True	True	False	True
GTPBP4	chr10:988527-992488	+	True	True	True	True
GTPBP4	chr10:988948-992488	+	True	False	True	True
GTPBP4	chr10:992659-995928	+	True	True	False	True
GTPBP4	chr10:992659-996105	+	True	False	False	False
GTPBP4	chr10:996032-996105	+	True	True	False	True
GTPBP4	chr10:996242-997207	+	True	True	False	True
GTPBP4	chr10:997308-999002	+	True	True	False	True
GTPBP4	chr10:999095-1000676	+	True	True	False	True
GTPBP4	chr10:1000868-1000947	+	True	True	False	True
GTPBP4	chr10:1001013-1005817	+	True	True	False	True
GTPBP4	chr10:1005907-1007017	+	True	True	False	True
GTPBP4	chr10:1007128-1008957	+	True	True	False	True
GTPBP4	chr10:1009035-1009528	+	True	True	False	True
GTPBP4	chr10:1009580-1010419	+	True	True	False	True
GTPBP4	chr10:1010520-1012464	+	True	True	False	True
GTPBP4	chr10:1012662-1014246	+	True	True	False	True
GTPBP4	chr10:1014312-1015752	+	True	True	False	True
GTPBP4	chr10:1015896-1017074	+	True	True	False	True
WDR37	chr10:1049641-1072115	+	True	False	True	True
WDR37	chr10:1056564-1072115	+	True	False	True	True
WDR37	chr10:1056879-1073885	+	True	False	True	True
WDR37	chr10:1056968-1072115	+	True	False	True	True
WDR37	chr10:1056968-1072135	+	True	False	True	False
WDR37	chr10:1056968-1077906	+	True	False	True	False
WDR37	chr10:1072293-1077906	+	True	True	True	True
WDR37	chr10:1074166-1077906	+	True	True	True	True
WDR37	chr10:1074508-1077906	+	True	True	True	True
WDR37	chr10:1074508-1077935	+	True	False	True	True
WDR37	chr10:1078003-1079555	+	True	False	True	False
WDR37	chr10:1078003-1080010	+	True	True	True	True
WDR37	chr10:1079677-1080010	+	True	False	True	False
WDR37	chr10:1080106-1080411	+	True	True	True	True
WDR37	chr10:1080476-1084402	+	True	True	True	True
WDR37	chr10:1084538-1086285	+	True	True	True	True
WDR37	chr10:1086357-1093451	+	True	True	True	True
WDR37	chr10:1093496-1096169	+	True	True	True	True
WDR37	chr10:1096246-1102457	+	True	True	True	True
WDR37	chr10:1096246-1103598	+	True	True	True	True
WDR37	chr10:1096246-1103601	+	True	True	True	True
WDR37	chr10:1096246-1105125	+	True	False	True	False
WDR37	chr10:1102577-1102855	+	True	True	True	True
