Gene_name	Intron_coord	ejc_distance
ECHDC3	chr10:11749592-11755344	258
CISD1	chr10:58269304-58276117	1083
CDK1	chr10:60792053-60792122	156
ZFYVE27	chr10:97757723-97757867	-1
DPCD	chr10:101601336-101608866	66
ARHGAP12	chr10:31807832-31808452	192
ZNF25	chr10:37953195-37953282	372
ZNF32	chr10:43644801-43645957	96
MRPS16	chr10:73252037-73252469	222
ANXA7	chr10:73377566-73378910	-1
ANXA7	chr10:73376217-73377444	1425
NDST2	chr10:73802776-73803008	39
TM9SF3	chr10:96527545-96528030	21
CHUK	chr10:100190968-100193388	78
RGS10	chr10:119500259-119515382	54
STK32C	chr10:132209364-132222640	192
