Gene_name	Intron_coord	PTC_position	Exon_length
ZMYND11	chr10:237677-240055	627	915
PFKP	chr10:3105301-3105392	0	189
AKR1E2	chr10:4833476-4835674	99	135
NET1	chr10:5452525-5452824	90	96
TASOR2	chr10:5753432-5754460	771	780
TASOR2	chr10:5750027-5753407	771	780
TASOR2	chr10:5754532-5756612	771	780
PFKFB3	chr10:6224213-6224505	9	123
ATP5F1C	chr10:7800091-7801512	906	912
ECHDC3	chr10:11749592-11755344	258	264
SEC61A2	chr10:12149961-12156906	111.0	210.0
SEC61A2	chr10:12136170-12142432	753	762
CDC123	chr10:12237266-12237461	30	48
CDC123	chr10:12237534-12238456	132.0	219.0
OPTN	chr10:13109288-13110179	273	297
HSPA14	chr10:14840157-14843370	48	84
HSPA14	chr10:14840157-14842133	48	84
HSPA14	chr10:14840157-14841165	48	84
MLLT10	chr10:21651768-21663749	48	72
MLLT10	chr10:21682257-21712229	48	72
MLLT10	chr10:21651768-21668916	48	72
COMMD3	chr10:22318168-22318652	186	285
COMMD3	chr10:22316556-22317856	15	141
COMMD3	chr10:22316967-22317883	405	549
COMMD3-BMI1	chr10:22318306-22318652	279	366
COMMD3-BMI1	chr10:22316556-22317856	120	138
COMMD3-BMI1	chr10:22318862-22318958	552	591
MSRB2	chr10:23119134-23119303	42	99
MSRB2	chr10:23110318-23119045	159.0	253.5
PDSS1	chr10:26735579-26740644	90	114
PDSS1	chr10:26709768-26720134	189	225
WAC	chr10:28610821-28611254	510	669
WAC	chr10:28536059-28583398	282	441
WAC	chr10:28610821-28611009	861	912
CCDC7	chr10:32567891-32583033	162	168
RASSF4	chr10:44982663-44983869	225	246
RASSF4	chr10:44971848-44982524	126	138
RASSF4	chr10:44989375-44989616	52.5	81.0
ALOX5	chr10:45425132-45428360	321	402
MAPK8	chr10:48420320-48425178	849	891
TFAM	chr10:58386716-58388189	339	498
TFAM	chr10:58386338-58386649	33	117
CDK1	chr10:60792053-60792122	156	168
REEP3	chr10:63599712-63610186	405	543
CCAR1	chr10:68756632-68757293	63	360
DDX50	chr10:68913279-68913349	222	228
DDX50	chr10:68901471-68906283	690	723
DDX50	chr10:68901471-68906225	711	780
HK1	chr10:69369336-69369418	138	207
SGPL1	chr10:70868433-70869326	552	573
FAM149B1	chr10:73233197-73234816	30	261
SEC24C	chr10:73767931-73768809	69	99
ZSWIM8	chr10:73795663-73796320	606	693
ZSWIM8	chr10:73796403-73796773	558	864
ZSWIM8	chr10:73797605-73797935	147	225
ZSWIM8	chr10:73797609-73797780	147	225
ADK	chr10:74528093-74589281	9	12
ADK	chr10:74525426-74527759	9	12
RPS24	chr10:78034316-78035351	336	414
RPS24	chr10:78033986-78035351	6	84
RPS24	chr10:78037304-78037329	121.5	132.0
PPIF	chr10:79351714-79352316	66.0	130.5
CDHR1	chr10:84212292-84213090	249	258
CDHR1	chr10:84204605-84205731	102	195
LDB3	chr10:86680157-86685593	54	105
PAPSS2	chr10:87660405-87709195	108	423
PTEN	chr10:87933251-87942610	195	237
BTAF1	chr10:91959282-91959784	63	216
PLCE1	chr10:94282940-94283789	78	147
PLCE1	chr10:94254096-94254189	108	213
PLCE1	chr10:94254307-94254935	96	114
PLCE1	chr10:94252498-94253940	288	366
HELLS	chr10:94546560-94554125	51	183
HELLS	chr10:94577096-94581325	198	435
HELLS	chr10:94562876-94570786	606	642
ENTPD1	chr10:95843301-95844475	789	957
ENTPD1	chr10:95842494-95844554	216	240
ZDHHC16	chr10:97452503-97452806	78	117
SEMA4G	chr10:100978671-100978848	24	144
TWNK	chr10:100990663-100990868	114	228
SFXN3	chr10:101036561-101036666	114	141
BTRC	chr10:101430452-101461963	24	93
DPCD	chr10:101601336-101608866	66	72
GBF1	chr10:102379429-102379520	45	132
GBF1	chr10:102363798-102364894	696	705
GBF1	chr10:102362664-102363226	108	171
GBF1	chr10:102381039-102381126	177	534
GBF1	chr10:102363798-102365382	195	216
GBF1	chr10:102376421-102376559	225	240
GBF1	chr10:102363585-102363709	108	330
GBF1	chr10:102367210-102367425	117	135
GBF1	chr10:102363798-102365415	54	183
GBF1	chr10:102344182-102346367	81	132
GBF1	chr10:102376425-102376559	177	243
GBF1	chr10:102376804-102376934	156.0	201.0
GBF1	chr10:102361912-102362541	120	123
GBF1	chr10:102358729-102360183	81	222
GBF1	chr10:102376784-102376934	144	153
GBF1	chr10:102370860-102376271	681	870
GBF1	chr10:102368454-102368818	0	15
GBF1	chr10:102380362-102380578	75	129
GBF1	chr10:102367560-102368297	144	159
GBF1	chr10:102375584-102376309	117	123
GBF1	chr10:102367560-102367842	588	612
GBF1	chr10:102346492-102351255	81	132
GBF1	chr10:102358694-102359269	111	165
GBF1	chr10:102379729-102379852	36	210
GBF1	chr10:102376432-102376539	177	261
GBF1	chr10:102377128-102379290	138	144
GBF1	chr10:102367210-102367414	81	144
GBF1	chr10:102368454-102369210	559.5	606.0
GBF1	chr10:102359435-102361021	789	930
GBF1	chr10:102379954-102380162	183	198
GBF1	chr10:102380362-102380509	156	177
NFKB2	chr10:102399718-102399926	168	270
TRIM8	chr10:102645403-102654652	75	786
TRIM8	chr10:102656137-102656247	75	138
TRIM8	chr10:102656137-102656244	75	141
SFXN2	chr10:102727157-102727674	846	855
SFXN2	chr10:102726777-102726986	108	171
SFXN2	chr10:102727791-102728430	564	807
PDCD11	chr10:103398528-103399646	867	882
MXI1	chr10:110244873-110279179	12	48
MXI1	chr10:110279683-110279913	324	504
MXI1	chr10:110245818-110279179	957	993
MXI1	chr10:110279294-110279489	573	594
ACSL5	chr10:112410635-112411901	72	171
ATRNL1	chr10:115128508-115129326	783	918
WDR11	chr10:120904142-120904649	96	162
TACC2	chr10:122211422-122215390	265.5	298.5
PSTK	chr10:122983514-122986299	63	75
EDRF1	chr10:125729479-125730271	111	129
EDRF1	chr10:125735904-125737922	42	66
EDRF1	chr10:125730399-125731864	21	72
FANK1	chr10:126005049-126007113	69	81
PPP2R2D	chr10:131935006-131940030	457.5	549
PPP2R2D	chr10:131940841-131943967	24	261
PPP2R2D	chr10:131943997-131944094	75	99
PPP2R2D	chr10:131940694-131944094	58.5	75.0
PPP2R2D	chr10:131934555-131934893	75	99
KNDC1	chr10:133207351-133209804	897	921
KNDC1	chr10:133210724-133211404	18	165
KNDC1	chr10:133211858-133212669	234	252
PAOX	chr10:133379670-133379998	327	486
MTG1	chr10:133399653-133401528	12	123
SCART1	chr10:133456554-133457084	369	492
PITRM1	chr10:3143970-3144291	570	582
PITRM1	chr10:3157531-3158044	84	96
PITRM1	chr10:3160001-3160203	144	153
PITRM1	chr10:3140765-3143388	87	144
ASB13	chr10:5642553-5648969	777	783
ITIH5	chr10:7609494-7615981	135	153
ITIH5	chr10:7600565-7609419	135	153
BEND7	chr10:13452658-13492610	174	213
DCLRE1C	chr10:14920444-14922980	696	708
DCLRE1C	chr10:14945565-14949035	450	462
DCLRE1C	chr10:14935523-14936537	27	63
ACBD7	chr10:15079040-15088305	354	423
TRDMT1	chr10:17169539-17174550	663	699
NSUN6	chr10:18548237-18551717	81	255
NEBL	chr10:20818834-20819423	24.0	37.5
NEBL	chr10:20815717-20817597	45	51
NEBL	chr10:20817692-20818703	624	771
ARHGAP21	chr10:24600788-24601977	42	141
ANKRD26	chr10:27044190-27046110	237	411
ANKRD26	chr10:27079161-27086538	21	213
ANKRD26	chr10:27037782-27037870	591	597
ANKRD26	chr10:27030600-27033224	28.5	46.5
ANKRD26	chr10:27080771-27082802	342.0	394.5
ANKRD26	chr10:27098326-27100084	21	130.5
ANKRD26	chr10:27060540-27060817	135	426
ANKRD26	chr10:27037323-27037663	198	393
ANKRD26	chr10:26982813-27006916	115.5	130.5
ANKRD26	chr10:27060881-27063987	21	48
ANKRD26	chr10:27079161-27080648	21	130.5
ANKRD26	chr10:27029356-27030392	57	69
ACBD5	chr10:27220464-27223206	675	741
ARHGAP12	chr10:31807832-31808452	192	300
EPC1	chr10:32274038-32284697	858	876
ITGB1	chr10:32920385-32921570	669	774
ITGB1	chr10:32920397-32922256	141	153
CUL2	chr10:35045709-35049682	693	939
CUL2	chr10:35063060-35071198	69	102
CUL2	chr10:35054523-35060873	66	90
CUL2	chr10:35039097-35044565	162	177
CUL2	chr10:35060966-35062959	51	93
CUL2	chr10:35054844-35060873	279	411
CUL2	chr10:35060924-35062959	0	51
CUL2	chr10:35031659-35032434	153	168
CUL2	chr10:35039075-35044565	147	156
CUL2	chr10:35031893-35032434	396	402
CUL2	chr10:35049761-35054433	54	78
ZNF25	chr10:37953195-37953282	372	477
ZNF32	chr10:43644801-43645957	96	174
ZFAND4	chr10:45640421-45648293	537	606
FRMPD2	chr10:48175939-48177711	309	438
ASAH2	chr10:50196919-50198300	663	846
FAM13C	chr10:59254443-59283362	3	54
ANK3	chr10:60068869-60069977	313.5	396.0
EGR2	chr10:62814468-62815320	183	708
JMJD1C	chr10:63215617-63217206	147	195
DNAJC12	chr10:67816133-67823313	75	93
DNA2	chr10:68470612-68471790	585	633
SLC25A16	chr10:68517265-68527245	366	516
SLC25A16	chr10:68517185-68527245	390	435
TYSND1	chr10:70143972-70146532	72	129
ASCC1	chr10:72196989-72198448	0	6
ASCC1	chr10:72128167-72132233	798	948
ASCC1	chr10:72198665-72203426	33.0	51.0
ASCC1	chr10:72132341-72133056	93	120
ASCC1	chr10:72208146-72210731	0	6
MICU1	chr10:72379583-72407928	12	18
MRPS16	chr10:73252023-73252258	48	222
MRPS16	chr10:73252037-73252469	222	276
CFAP70	chr10:73323027-73331176	57	63
CFAP70	chr10:73278337-73291349	132	159
CAMK2G	chr10:73819617-73821681	36	75
CAMK2G	chr10:73818267-73819531	642	789
DLG5	chr10:77807936-77809546	48	141
DLG5	chr10:77805928-77806757	156	264
IDE	chr10:92469833-92470253	915	954
IDE	chr10:92468990-92469587	654	759
